Prefix,Code,Type,Line,Station
0100,00163657,,,华师
0100,00163658,,,华师
0100,00163659,,,华师
0100,00163660,,,华师
0100,00163661,,,华师
0100,00163662,,,华师
0100,00163663,,,华师
0100,00163664,,,华师
0100,00163665,,,岗顶
0100,00163666,,,岗顶
0100,00163667,,,岗顶
0100,00163668,,,岗顶
0100,00163669,,,岗顶
0100,00163670,,,岗顶
0100,00163671,,,岗顶
0100,00163672,,,岗顶
0100,00163673,,,黄边
0100,00163674,,,黄边
0100,00163675,,,黄边
0100,00163676,,,黄边
0100,00163677,,,江夏
0100,00163678,,,江夏
0100,00163679,,,江夏
0100,00163680,,,江夏
0100,00163681,,,江夏
0100,00163682,,,江夏
0100,00163683,,,江夏
0100,00163684,,,江夏
0100,00163685,,,江夏
0100,00163686,,,江夏
0100,00163687,,,江夏
0100,00163688,,,江夏
0100,00163689,,,江夏
0100,00163690,,,江夏
0100,00163691,,,萧岗
0100,00163692,,,萧岗
0100,00166723,,,鱼珠
0100,00166724,,,鱼珠
0100,00166725,,,鱼珠
0100,00166726,,,鱼珠
0100,00166727,,,鱼珠
0100,00166728,,,鱼珠
0100,00166729,,,鱼珠
0100,00166730,,,鱼珠
0100,00166731,,,鱼珠
0100,00166732,,,鱼珠
0100,00166733,,,鱼珠
0100,00166734,,,鱼珠
0100,00166735,,,鱼珠
0100,00166736,,,鱼珠
0100,00166737,,,鱼珠
0100,00166738,,,鱼珠
0100,00166739,,,鱼珠
0100,00166740,,,新塘
0100,00166741,,,鱼珠
0100,00166742,,,鱼珠
0100,00166743,,,鱼珠
0100,00166744,,,鱼珠
0100,00166745,,,鱼珠
0100,00166746,,,鱼珠
0100,00166747,,,鱼珠
0100,00166748,,,鱼珠
0100,00166749,,,鱼珠
0100,00166750,,,鱼珠
0100,00166751,,,鱼珠
0100,00166752,,,鱼珠
0100,00166753,,,鱼珠
0100,00166754,,,鱼珠
0100,00166755,,,鱼珠
0100,00166756,,,鱼珠
0100,00166757,,,鱼珠
0100,00166758,,,鱼珠
0100,00166759,,,鱼珠
0100,00166760,,,鱼珠
0100,00166761,,,鱼珠
0100,00166762,,,鱼珠
0100,00166763,,,鱼珠
0100,00166764,,,鱼珠
0100,00166765,,,鱼珠
0100,00166766,,,鱼珠
0100,00166767,,,鱼珠
0100,00166768,,,鱼珠
0100,00166769,,,鱼珠
0100,00166770,,,鱼珠
0100,00166771,,,鱼珠
0100,00166772,,,鱼珠
0100,00166773,,,鱼珠
0100,00166774,,,鱼珠
0100,00166775,,,鱼珠
0100,00166776,,,鱼珠
0100,00166777,,,鱼珠
0100,00166778,,,鱼珠
0100,00166779,,,鱼珠
0100,00166780,,,裕丰围
0100,00166781,,,裕丰围
0100,00166782,,,裕丰围
0100,00166783,,,裕丰围
0100,00166784,,,裕丰围
0100,00166785,,,裕丰围
0100,00166786,,,裕丰围
0100,00166787,,,裕丰围
0100,00166788,,,裕丰围
0100,00166789,,,裕丰围
0100,00166790,,,裕丰围
0100,00166791,,,裕丰围
0100,00166792,,,裕丰围
0100,00166793,,,裕丰围
0100,00166794,,,裕丰围
0100,00166795,,,裕丰围
0100,00166796,,,裕丰围
0100,00166797,,,裕丰围
0100,00166798,,,裕丰围
0100,00166799,,,裕丰围
