City,Code,Type,Line,Station,Station-en
3010,413100029034,自行车,江北,金盛田广场,Jinshengtian Plaza
3010,413100029108,自行车,主城,鼓楼法治文化广场,Gulou Nomocracy Cultural Square
3010,413100029194,自行车,主城,仙境路羊山湖公园,"Xianjing Lu,Yangshanhu Park"
3010,413100029209,自行车,主城,羊山公园站,Yangshangongyuan Station
3010,413100029324,自行车,江北,地铁凤凰公园站4号口,Fenghuangshan Park Metro Exit 4
3010,413100029352,自行车,江北,龙湖1号,Longhu No.1
3010,413100029395,自行车,主城,宁夏路西康路口,Xikanglu Intersection of Ningxialu
3010,413100029399,自行车,主城,虎踞变电站,Huju Substation
3010,413100029416,自行车,主城,大方国际家居,Dafang International Home Furniture
3010,413100029418,自行车,主城,金川国际科园东,East Jinchuan International Science Park
3010,413100029419,自行车,主城,白马公园南广场,South Square of Baima Park
3010,413100029420,自行车,主城,地铁红山动物园北,North Hongshan Zoo Metro Station
3010,413100029445,自行车,主城,名城华贵园北,North Mingcheng Huaguiyuan
3010,413100029447,自行车,主城,模范路科技创新街区,Mofanlu Technology Innovation Block
3010,413100029464,自行车,主城,西康宾馆,Xikang Hotel
3010,413100029466,自行车,主城,古平岗回龙桥,Gupinggang Huilongqiao
3010,413100029486,自行车,主城,玉桥市场,Yuqiao Market
3010,413100029495,自行车,主城,虎踞北路察哈尔路,Hujubeilu Chaharlu
3010,413100029502,自行车,主城,圣淘沙花城,Shengtaosha Huacheng
3010,413100030012,自行车,主城,栖园,Qiyuan
3010,413100030071,自行车,主城,雨花东路南京宁星,Yuhuadonglu Nanjing Ningxing
3010,413100030080,自行车,主城,香悦澜山南门,South Gate of Xiangyue Lanshan
3010,413100030083,自行车,主城,经天路地铁,Jingtianlu Metro
3010,413100030110,自行车,主城,建初寺西,West Jianchu Temple
3010,413100030143,自行车,主城,璇子巷59号,Xuanzixiang No.59
3010,413100030177,自行车,主城,察哈尔路67号,Chaharlu No.67
3010,413100030216,自行车,主城,八卦洲小城镇,Baguazhou Xiaochengzhen
3010,413100030228,自行车,主城,八卦洲城镇东,East Baguazhou Chengzhen
3010,413100030262,自行车,主城,安乐村北门,North Gate of Anlecun
3010,413100030304,自行车,江北,城西路地铁基地,Chengxilu Metro Base
3010,413100045454,自行车,江宁,明发广场,Mingfaguangchang
3010,413100045487,自行车,江宁,河定桥地铁站西,West Hedingqiao Metro Station
3010,413100045525,自行车,江宁,双龙大道地铁站,Shuanglongdadao Metro Station
3010,413100045531,自行车,江宁,双龙大道地铁站2,Shuanglongdadao Metro Station 2
3010,413100046357,自行车,江宁,河海大学,Hohai University
3010,413100200239,自行车,溧水,石湫政府,Shiqiu Government
3010,413100202140,自行车,溧水,石湫轻轨站,Shiqiu Light Rail Station
3010,413100400354,自行车,主城,张府园地铁2号口,Zhangfuyuan Metro Exit 2
3010,413100400375,自行车,主城,米兰假日大酒店,Milan Holiday Hotel
3010,413100400390,自行车,主城,金盛家居,Jinsheng Home Furnishing
3010,413100400424,自行车,主城,小市地铁2号口,Xiaoshi Metro Exit 2
3010,413100400447,自行车,江北,江佑铂庭,Jiangyou Boting
3010,413100400448,自行车,江北,江浦四中,Jiangpu No.4 Middle School
3010,413100400449,自行车,江北,万汇城东,East Wanhuicheng
3010,413100400473,自行车,江北,环龙池路,Huanlongchilu
3010,413100400479,自行车,江北,金年车站,Jinnian Station
3010,413100400483,自行车,江北,顶山都市产业园,Dingshan Urban Industrial Park
3010,413100400495,自行车,江北,区政府,Luhe District Government
3010,413100400507,自行车,江北,江北大道,Jiangbeidadao
3010,413100400510,自行车,江北,天润城七街区,7th Block of Tianruncheng
3010,413100400521,自行车,江北,凤凰山公园地铁3号口,Fenghuangshan Park Metro Exit 3
3010,413100400529,自行车,江北,江浦三中,Jiangpu No.3 Middle School
3010,413100400531,自行车,江北,江浦二中,Jiangpu No.2 Middle School
3010,413100400533,自行车,江北,林散之纪念馆,Lin Sanzhi Memorial Hall
3010,413100400534,自行车,江北,象山花园,Xiangshan Huayuan
3010,413100400535,自行车,江北,浦口交通局,Pukou Transportation Bureau
3010,413100400536,自行车,江北,文德路3号口,Wendelu Metro Exit 3
3010,413100400537,自行车,江北,文德路2号口,Wendelu Metro Exit 2
3010,413100400538,自行车,江北,文德路1号口,Wendelu Metro Exit 1
3010,413100400540,自行车,江北,龙华路4号口,Longhualu Metro Exit 4
3010,413100400542,自行车,江北,龙华路3号口,Longhualu Metro Exit 3
3010,413100400543,自行车,江北,柳洲东路总站,Liuzhoudonglu Terminal
3010,413100400544,自行车,江北,柳洲东路地铁站1号口,Liuzhoudonglu Metro Exit 1
3010,413100400583,自行车,江北,土储中心,Land Reserve Center
3010,413100400602,自行车,江北,天润城十六街区,16th Block of Tianruncheng
3010,413100400608,自行车,江北,天润城十一街区西,West 11th Block of Tianruncheng
3010,413100400610,自行车,江北,天润城地铁站2号口,Tianruncheng Metro Exit 2
3010,413100400611,自行车,江北,天润养老院,Tianrun Nursing Home
3010,413100400612,自行车,江北,七里桥,Qiliqiao Bridge
3010,413100400613,自行车,江北,天润城二街区,2nd Block of Tianruncheng
3010,413100400615,自行车,江北,天润城地铁站3号口,Tianruncheng Metro Exit 3
3010,413100400626,自行车,江北,市民中心,Civic Center
3010,413100400633,自行车,江北,天润城一街区,1st Block of Tianruncheng
3010,413100400635,自行车,江北,柳洲东路地铁站3号口,Liuzhoudonglu Metro Exit 3
3010,413100401525,自行车,主城,名城世家,Mingcheng Shijia
3010,413100409778,自行车,主城,中医药大学南,South Nanjing University of TCM
3010,413100409829,自行车,主城,琥珀花园南,South Hupo Huayuan
3010,413100409832,自行车,主城,中华门地铁站南,South Zhonghuamen Metro Station
3010,413100410281,自行车,主城,模范马路香格里拉,Mofanmalu Shangri-La
3010,413100410318,自行车,江北,龙湖御景,Longhu Yujing
3010,413100410332,自行车,主城,保利紫荆公馆北门,North Gate of Baoli Zijing Gongguan
3010,413100410371,自行车,江北,明发城市广场,Mingfa City Plaza
3010,413100410374,自行车,江北,天润城五街区,5th Block of Tianruncheng
3010,413100410395,自行车,江北,融创臻园,Rongchuang Zhenyuan
3010,413100410402,自行车,江北,泰隆集团,Tailong Group
3010,413100410407,自行车,江北,明发云庭广场,Mingfa Yunting Market
3010,413100410416,自行车,主城,血液中心办公楼,Blood Center Office Building
3010,413100410421,自行车,江北,万锦熙岸西,West Wanjin Xi'an
3010,413100410435,自行车,江北,天润城十二街区,12th Block of Tianruncheng
3010,413100410438,自行车,江北,天润城十六街区南,South 16th Block of Tianruncheng
3010,413100410442,自行车,江北,天润城九街区南,South of 9th Block of Tianruncheng
3010,413100410447,自行车,江北,农大浦口校区,NJAU Pukou Campus
3010,413100410449,自行车,江北,江城人家,Jiangcheng Renjia
3010,413100410455,自行车,江北,新河社区,Xinhe Community
3010,413100410459,自行车,江北,警官学院,Police Institute
3010,413100411397,自行车,主城,南京市第十三中学,Nanjing No.13 Middle School
3010,413100411563,自行车,主城,空司南,South Air Force Command
3010,413100411568,自行车,主城,市政府,Nanjing City Hall
3010,413100411586,自行车,主城,下马坊地铁口,Xiamafang Metro Exit
3010,413100411667,自行车,主城,金蕊家苑,Jinrui Jiayuan
3010,413100411671,自行车,主城,时光澔韵,Shiguang Haoyun
3010,413100411681,自行车,主城,小行地铁站南,South Xiaohang Metro Station
3010,413100411684,自行车,主城,摩卡庄园,Moka Zhuangyuan
3010,413100411687,自行车,主城,爱涛逸珍公馆南,South Aitao Yizhen Gongguan
3010,413100411689,自行车,主城,卡子门地铁站,Kazimen Metro Station
3010,413100411693,自行车,主城,雨花烈士陵园北门,North Gate of Yuhua Martyrs Cemetery
3010,413100411694,自行车,主城,博悦澜庭,Boyue Lanting
3010,413100411737,自行车,主城,雨花烈士陵园南门,South Gate of Yuhua Martyrs Cemetery
3010,413100411738,自行车,主城,邓府山,Dengfushan
3010,413100411742,自行车,主城,雨花区政府北门,North Gate of Yuhua District Government
3010,413100411746,自行车,主城,明发广场东,East Mingfaguangchang
3010,413100411803,自行车,主城,江南名府北门,North Gate of Jiangnan Mingfu
3010,413100411815,自行车,主城,国资大厦,Guozi Building
3010,413100411821,自行车,主城,莫愁花园南门,South Gate of Mochou Garden
3010,413100411825,自行车,主城,中兴人才公寓,ZTE Talent Apartment
3010,413100411827,自行车,主城,花神科技园,Huashen Science and Technology Park
3010,413100411834,自行车,主城,紫荆广场,Zijing Plaza
3010,413100411839,自行车,主城,软件大道地铁站,Ruanjiandadao Metro Station
